FUNCTION                                                                     CALLS        %        TIME  [uS / CALLS]
--------                                                                     -----  -------        ----  [----------]
'Elixir.Flow.Window':global/0                                                    1     0.00           0  [      0.00]
erlang:apply/2                                                                   1     0.00           0  [      0.00]
erlang:spawn_monitor/1                                                           1     0.00           0  [      0.00]
'Elixir.Database.MapReduce':map_reduce_merge/4                                   1     0.00           0  [      0.00]
'Elixir.Database.MapReduce':'-map_reduce_merge/4-fun-0-'/0                       8     0.00           0  [      0.00]
'Elixir.Database.File':stream_chunks/2                                           1     0.00           0  [      0.00]
'Elixir.Database.File':stream_groups/1                                           1     0.00           0  [      0.00]
'Elixir.Database.File':stream_groups/2                                           1     0.00           0  [      0.00]
'Elixir.GenStage.Utils':validate_list/3                                          8     0.00           0  [      0.00]
'Elixir.GenStage.Utils':validate_no_opts/1                                       9     0.00           0  [      0.00]
'Elixir.GenServer':cast/2                                                       11     0.00           0  [      0.00]
'Elixir.GenServer':cast_msg/1                                                   11     0.00           0  [      0.00]
'Elixir.GenServer':do_send/2                                                    11     0.00           0  [      0.00]
'Elixir.GenServer':start/3                                                       1     0.00           0  [      0.00]
supervisor:start_link/2                                                          1     0.00           0  [      0.00]
supervisor:init/1                                                                1     0.00           0  [      0.00]
supervisor:init_children/2                                                       1     0.00           0  [      0.00]
supervisor:start_children/2                                                      1     0.00           0  [      0.00]
supervisor:terminate/2                                                           1     0.00           0  [      0.00]
supervisor:terminate_children/2                                                  1     0.00           0  [      0.00]
supervisor:children_map/2                                                        2     0.00           0  [      0.00]
supervisor:children_map/4                                                        2     0.00           0  [      0.00]
supervisor:init_state/4                                                          1     0.00           0  [      0.00]
supervisor:set_flags/2                                                           1     0.00           0  [      0.00]
supervisor:check_flags/1                                                         1     0.00           0  [      0.00]
supervisor:do_check_flags/1                                                      1     0.00           0  [      0.00]
supervisor:validStrategy/1                                                       1     0.00           0  [      0.00]
supervisor:validIntensity/1                                                      1     0.00           0  [      0.00]
supervisor:validPeriod/1                                                         1     0.00           0  [      0.00]
supervisor:supname/2                                                             1     0.00           0  [      0.00]
supervisor:check_startspec/1                                                     1     0.00           0  [      0.00]
supervisor:check_startspec/3                                                     1     0.00           0  [      0.00]
'Elixir.GenStage.DemandDispatcher':info/2                                        9     0.00           0  [      0.00]
'Elixir.GenStage.DemandDispatcher':init/1                                        9     0.00           0  [      0.00]
proc_lib:spawn_opt_mon/4                                                         1     0.00           0  [      0.00]
proc_lib:init_p/5                                                               11     0.00           0  [      0.00]
proc_lib:init_p_do_apply/3                                                      11     0.00           0  [      0.00]
proc_lib:exit_p/3                                                               11     0.00           0  [      0.00]
proc_lib:exit_reason/3                                                          11     0.00           0  [      0.00]
proc_lib:start/5                                                                 1     0.00           0  [      0.00]
proc_lib:sync_wait_mon/2                                                         1     0.00           0  [      0.00]
proc_lib:trans_init/3                                                           11     0.00           0  [      0.00]
proc_lib:crash_report/4                                                         11     0.00           0  [      0.00]
'Elixir.GenStage.Buffer':capacity_wheel/1                                        2     0.00           0  [      0.00]
'Elixir.GenStage.Buffer':init_wheel/1                                            9     0.00           0  [      0.00]
'Elixir.GenStage.Buffer':new/1                                                   9     0.00           0  [      0.00]
'Elixir.GenStage.Buffer':store_permanent_unless_empty/2                          9     0.00           0  [      0.00]
application_controller:get_env/2                                                 2     0.00           0  [      0.00]
'Elixir.GenStage.Streamer':handle_info/2                                         1     0.00           0  [      0.00]
'Elixir.GenStage.Streamer':init/1                                                1     0.00           0  [      0.00]
gen_server:start_link/3                                                          1     0.00           0  [      0.00]
gen_server:cast/2                                                                1     0.00           0  [      0.00]
gen_server:do_cast/2                                                             1     0.00           0  [      0.00]
gen_server:cast_msg/1                                                            1     0.00           0  [      0.00]
gen_server:init_it/6                                                            12     0.00           0  [      0.00]
gen_server:init_it/2                                                            11     0.00           0  [      0.00]
gen_server:do_send/2                                                             1     0.00           0  [      0.00]
gen_server:try_terminate/3                                                      11     0.00           0  [      0.00]
gen_server:terminate/8                                                          11     0.00           0  [      0.00]
gen_server:terminate/10                                                         11     0.00           0  [      0.00]
gen_server:terminate_reason/3                                                   11     0.00           0  [      0.00]
'Elixir.Map':pop/2                                                               8     0.00           0  [      0.00]
'Elixir.Map':pop/3                                                               8     0.00           0  [      0.00]
maps:take/2                                                                      8     0.00           0  [      0.00]
maps:keys/1                                                                      2     0.00           0  [      0.00]
prim_file:internal_name2native/1                                                 1     0.00           0  [      0.00]
erlang:atom_to_binary/2                                                          1     0.00           0  [      0.00]
erlang:process_flag/2                                                            2     0.00           0  [      0.00]
erlang:integer_to_list/1                                                        11     0.00           0  [      0.00]
erlang:erase/1                                                                   8     0.00           0  [      0.00]
erlang:atom_to_list/1                                                            1     0.00           0  [      0.00]
io:execute_request/2                                                             2     0.00           1  [      0.50]
gen:start/5                                                                     11     0.00           1  [      0.09]
gen:do_spawn/5                                                                  11     0.00           1  [      0.09]
application:get_env/2                                                            2     0.00           1  [      0.50]
'Elixir.GenStage.Stream':stream_validate_opts/1                                  8     0.00           1  [      0.13]
'Elixir.GenStage.Stream':'-subscriptions_monitor/3-fun-0-'/5                     8     0.00           1  [      0.13]
'Elixir.GenStage.Stream':'-build/2-fun-0-'/1                                     8     0.00           1  [      0.13]
prim_file:fill_fd_option_map/2                                                   5     0.00           1  [      0.20]
'Elixir.GenStage':consumer_receive/4                                             2     0.00           1  [      0.50]
'Elixir.GenStage':handle_cast/2                                                 11     0.00           1  [      0.09]
'Elixir.GenStage':producer_subscribe/3                                          16     0.00           1  [      0.06]
'Elixir.GenStage':'-producer_demand/2-lists^foldl/2-0-'/3                        9     0.00           1  [      0.11]
'Elixir.GenStage':'-consumer_receive/4-fun-1-'/7                                 2     0.00           1  [      0.50]
'Elixir.GenStage':'-consumer_receive/4-fun-0-'/6                                 2     0.00           1  [      0.50]
queue:in/2                                                                       4     0.00           1  [      0.25]
'Elixir.Enumerable':'impl_for!'/1                                                2     0.00           1  [      0.50]
